,PassengerGroup,HomePlanet,CryoSleep,Cabin,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,55 Cancri e,PSO J318.5-22,TRAPPIST-1e
0,1,Europa,0.0,B/0/P,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1
1,2,Earth,0.0,F/0/S,24.0,0.0,109.0,9.0,25.0,549.0,44.0,1,0,0,1
2,3,Europa,0.0,A/0/S,58.0,1.0,43.0,3576.0,0.0,6715.0,49.0,-1,0,0,1
3,3,Europa,0.0,A/0/S,33.0,0.0,0.0,1283.0,371.0,3329.0,193.0,-1,0,0,1
4,4,Earth,0.0,F/1/S,16.0,0.0,303.0,70.0,151.0,565.0,2.0,1,0,0,1
5,5,Earth,0.0,F/0/P,44.0,0.0,0.0,483.0,0.0,291.0,0.0,1,0,1,0
6,6,Earth,0.0,F/2/S,26.0,0.0,42.0,1539.0,3.0,0.0,0.0,1,0,0,1
7,6,Earth,1.0,G/0/S,28.0,0.0,0.0,0.0,0.0,0.0,304.8547912992357,1,0,0,1
8,7,Earth,0.0,F/3/S,35.0,0.0,0.0,785.0,17.0,216.0,0.0,1,0,0,1
9,8,Europa,1.0,B/1/P,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
10,8,Europa,1.0,B/1/P,34.0,0.0,0.0,0.0,173.72916912197996,0.0,0.0,1,0,0,1
11,8,Europa,0.0,B/1/P,45.0,0.0,39.0,7295.0,589.0,110.0,124.0,1,1,0,0
12,9,Mars,0.0,F/1/P,32.0,0.0,73.0,0.0,1123.0,0.0,113.0,1,0,0,1
13,10,Earth,0.0,G/1/S,48.0,0.0,719.0,1.0,65.0,0.0,24.0,-1,0,0,1
14,11,Earth,0.0,F/2/P,28.0,0.0,8.0,974.0,12.0,2.0,7.0,1,0,0,1
15,12,Earth,0.0,,31.0,0.0,32.0,0.0,876.0,0.0,0.0,-1,0,0,1
16,14,Mars,0.0,F/3/P,27.0,0.0,1286.0,122.0,173.72916912197996,0.0,0.0,-1,1,0,0
17,15,Earth,0.0,F/4/P,24.0,0.0,0.0,1.0,0.0,0.0,637.0,-1,1,0,0
18,16,Mars,1.0,F/5/P,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
19,17,Earth,0.0,G/0/P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
20,17,Earth,0.0,F/6/P,14.0,0.0,412.0,0.0,1.0,0.0,679.0,-1,1,0,0
21,20,Earth,1.0,E/0/S,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1
22,20,Earth,1.0,E/0/S,49.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,0,0
23,20,Earth,1.0,E/0/S,29.0,0.0,0.0,0.0,173.72916912197996,0.0,0.0,-1,1,0,0
24,20,Earth,0.0,E/0/S,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
25,20,Earth,1.0,E/0/S,1.0,0.0,224.687617481203,0.0,0.0,0.0,0.0,-1,0,1,0
26,20,Earth,0.0,E/0/S,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1
27,22,Mars,0.0,D/0/P,21.0,0.0,980.0,2.0,69.0,0.0,0.0,-1,0,0,1
28,24,Europa,1.0,C/2/S,62.0,0.0,0.0,0.0,173.72916912197996,0.0,0.0,1,0,0,1
29,25,Earth,0.0,F/6/S,15.0,0.0,0.0,225.0,0.0,998.0,0.0,-1,0,0,1
30,26,Europa,0.0,C/0/P,34.0,0.0,22.0,6073.0,0.0,1438.0,328.0,-1,1,0,0
31,28,Mars,0.0,F/8/P,43.0,0.0,1125.0,0.0,136.0,48.0,0.0,-1,0,0,1
32,30,Earth,0.0,G/4/S,32.0,0.0,0.0,850.0,81.0,437.0,453.0,-1,0,0,1
33,31,Mars,0.0,F/9/P,47.0,0.0,214.0,0.0,1411.0,0.0,1229.0,1,0,0,1
34,31,Mars,0.0,F/9/P,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
35,31,Mars,0.0,F/9/P,20.0,0.0,224.687617481203,0.0,1750.0,990.0,0.0,1,0,0,1
36,34,Europa,1.0,D/1/S,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
37,35,Mars,0.0,D/1/P,23.0,0.0,784.0,964.0,0.0,951.0,0.0,-1,1,0,0
38,36,Earth,0.0,F/8/S,15.0,0.0,0.0,492.0,48.0,20.0,401.0,-1,1,0,0
39,38,Earth,0.0,F/10/S,20.0,0.0,554.0,195.0,0.0,2606.0,0.0,-1,1,0,0
40,39,Earth,1.0,G/1/P,30.0,0.0,0.0,0.0,173.72916912197996,0.0,0.0,-1,1,0,0
41,41,Earth,1.0,G/2/P,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
42,43,Europa,0.0,B/3/P,45.0,0.0,0.0,164.0,45.0,2511.0,855.0,-1,0,0,1
43,44,Earth,1.0,G/3/P,55.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1
44,44,Earth,1.0,G/3/P,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
45,44,Earth,1.0,G/3/P,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
46,45,Mars,0.0,F/10/P,21.0,0.0,970.0,0.0,180.0,0.0,64.0,-1,0,0,1
47,45,Mars,1.0,F/10/P,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
48,50,Earth,0.0,E/1/S,35.0,0.0,790.0,0.0,0.0,311.1387779083431,0.0,-1,1,0,0
49,51,Earth,0.0,E/2/S,56.0,0.0,0.0,112.0,0.0,1379.0,127.0,-1,0,0,1
50,52,Earth,0.0,G/6/S,28.82793046746535,0.0,4.0,0.0,2.0,4683.0,0.0,-1,0,0,1
51,53,Earth,0.0,F/11/S,25.0,0.0,0.0,0.0,1938.0,0.0,1.0,1,0,0,1
52,56,Europa,0.0,A/1/S,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
53,56,Europa,1.0,A/1/S,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
54,56,Europa,0.0,A/1/S,27.0,0.0,279.0,605.0,3374.0,286.0,3.0,1,0,0,1
55,58,Earth,1.0,G/7/S,36.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,1,0
56,61,Earth,0.0,F/12/S,22.0,0.0,45.0,1096.0,148.0,1377.0,1.0,-1,0,0,1
57,62,Earth,0.0,F/13/S,62.0,0.0,0.0,592.0,0.0,17.0,25.0,-1,0,0,1
58,64,Mars,1.0,F/14/S,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
59,64,Earth,1.0,E/3/S,33.0,0.0,0.0,0.0,173.72916912197996,0.0,0.0,1,0,0,1
60,66,Earth,0.0,G/6/P,62.0,0.0,1.0,153.0,197.0,0.0,460.0,-1,0,0,1
61,67,Earth,1.0,G/10/S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
62,67,Earth,0.0,G/10/S,18.0,0.0,1.0,258.0,446.0,0.0,0.0,1,0,0,1
63,67,Earth,0.0,F/15/S,21.0,0.0,1946.0,37.0,0.0,0.0,24.0,-1,1,0,0
64,68,Mars,0.0,E/4/S,28.82793046746535,0.0,793.0,0.0,2.0,253.0,0.0,-1,0,0,1
65,69,Earth,0.0,F/16/S,42.0,0.0,887.0,0.0,9.0,6.0,0.0,1,0,0,1
66,70,Earth,0.0,F/13/P,19.0,0.0,190.0,0.0,5.0,1.0,726.0,-1,0,0,1
67,71,Earth,0.0,F/14/P,17.0,0.0,16.0,2165.0,0.0,0.0,52.0,-1,0,0,1
68,72,Earth,0.0,F/17/S,14.0,0.0,0.0,1.0,0.0,0.0,1063.0,-1,0,0,1
69,73,Mars,0.0,D/3/P,37.0,0.0,46.0,83.0,738.0,0.0,12.0,-1,0,1,0
70,74,Europa,0.0,C/3/S,42.0,0.0,1.0,8397.0,0.0,0.0,506.0,1,0,0,1
71,76,Mars,0.0,F/18/S,27.0,0.0,147.0,0.0,1018.0,0.0,0.0,1,0,0,1
72,77,Mars,0.0,F/15/P,28.0,0.0,14.0,0.0,1295.0,0.0,0.0,1,0,0,1
73,78,Europa,0.0,C/4/S,38.0,0.0,0.0,5840.0,0.0,321.0,9654.0,-1,0,0,1
74,81,Earth,1.0,G/13/S,13.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1
75,82,Mars,0.0,F/16/P,42.0,0.0,7406.0,0.0,0.0,0.0,0.0,-1,0,0,1
76,82,Mars,1.0,F/16/P,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
77,82,Mars,0.0,F/16/P,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
78,84,Earth,0.0,G/14/S,24.0,0.0,688.0,0.0,0.0,0.0,17.0,1,0,0,1
79,85,Europa,1.0,C/5/S,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
80,86,Earth,0.0,F/17/P,43.0,0.0,211.0,0.0,0.0,638.0,513.0,-1,0,0,1
81,88,Mars,1.0,E/5/S,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
82,90,Earth,1.0,G/15/S,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
83,91,Earth,1.0,G/16/S,26.0,0.0,224.687617481203,0.0,0.0,0.0,0.0,1,0,0,1
84,91,Earth,0.0,F/20/S,27.0,0.0,1.0,697.0,31.0,188.0,0.0,-1,0,0,1
85,92,Earth,0.0,G/9/P,19.0,0.0,0.0,0.0,670.0,1.0,34.0,-1,0,0,1
86,92,Earth,1.0,G/9/P,0.0,0.0,0.0,0.0,173.72916912197996,0.0,0.0,1,0,0,1
87,92,Earth,1.0,G/9/P,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
88,97,Europa,0.0,A/2/S,54.0,0.0,0.0,1208.0,0.0,3.0,637.0,-1,0,0,1
89,98,Earth,0.0,G/11/P,26.0,0.0,0.0,856.0,5.0,32.0,0.0,-1,0,0,1
90,98,Earth,0.0,G/11/P,26.0,0.0,0.0,2811.0,957.0,0.0,87.0,1,0,0,1
91,99,Earth,0.0,F/19/P,23.0,0.0,311.0,427.0,526.0,37.0,0.0,-1,0,1,0
92,99,Earth,0.0,G/12/P,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
93,101,Mars,1.0,,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
94,102,Earth,0.0,F/23/S,18.0,0.0,0.0,0.0,0.0,830.0,91.0,-1,0,0,1
95,103,Earth,0.0,F/24/S,24.0,0.0,0.0,458.0772032902468,0.0,0.0,17.0,1,0,0,1
96,103,Earth,1.0,G/18/S,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
97,103,Earth,1.0,G/18/S,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1
98,105,Earth,0.0,F/21/P,27.0,0.0,0.0,0.0,570.0,2.0,131.0,-1,0,0,1
99,107,Mars,0.0,D/2/S,21.0,0.0,1743.0,5.0,17.0,0.0,0.0,-1,0,0,1
100,108,Earth,1.0,G/19/S,23.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1
101,108,Earth,0.0,G/19/S,31.0,0.0,562.0,0.0,326.0,0.0,0.0,-1,0,0,1
102,108,Earth,0.0,G/19/S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
103,110,Europa,0.0,,32.0,0.0,0.0,410.0,6.0,3929.0,764.0,-1,0,0,1
104,110,Europa,0.0,B/5/P,40.0,0.0,0.0,331.0,0.0,0.0,1687.0,-1,0,0,1
105,110,Europa,0.0,B/5/P,42.0,0.0,2209.0,11418.0,0.0,1868.0,445.0,1,0,0,1
106,110,Europa,1.0,B/5/P,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
107,111,Europa,1.0,E/6/S,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
108,112,Europa,0.0,B/1/S,48.0,1.0,0.0,2537.0,87.0,17.0,13.0,1,1,0,0
109,113,Earth,0.0,F/23/P,64.0,0.0,0.0,0.0,804.0,0.0,0.0,1,0,0,1
110,114,Earth,0.0,G/20/S,27.0,0.0,82.0,157.0,429.0,238.0,1.0,-1,0,0,1
111,115,Mars,0.0,F/24/P,26.0,0.0,0.0,0.0,0.0,0.0,304.8547912992357,1,0,0,1
112,116,Europa,0.0,D/4/P,33.0,0.0,1.0,2223.0,0.0,12.0,404.0,1,0,0,1
113,119,Earth,0.0,A/0/P,39.0,0.0,0.0,2344.0,0.0,65.0,6898.0,-1,0,0,1
114,119,Europa,1.0,A/0/P,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
115,120,Mars,1.0,F/25/P,24.0,0.0,0.0,0.0,0.0,0.0,304.8547912992357,1,0,0,1
116,122,Earth,0.0,G/21/S,29.0,0.0,0.0,0.0,0.0,699.0,74.0,-1,0,0,1
117,123,Earth,0.0,F/27/P,18.0,0.0,55.0,597.0,49.0,0.0,1.0,-1,0,0,1
118,126,Mars,1.0,F/27/S,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
119,127,Mars,0.0,E/7/S,35.0,0.0,701.0,0.0,296.0,0.0,25.0,-1,0,0,1
120,128,Mars,0.0,D/3/S,61.0,1.0,2353.0,334.0,9.0,316.0,2.0,-1,0,0,1
121,128,Mars,0.0,E/8/S,45.0,0.0,2103.0,6.0,0.0,0.0,0.0,-1,0,0,1
122,129,Earth,1.0,G/22/S,22.0,0.0,0.0,0.0,173.72916912197996,0.0,0.0,1,0,1,0
123,133,Mars,1.0,F/29/S,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
124,133,Mars,0.0,D/5/S,36.0,0.0,2738.0,0.0,0.0,0.0,0.0,-1,0,0,1
125,134,Earth,0.0,G/17/P,19.0,0.0,0.0,14.0,730.0,0.0,0.0,1,0,0,1
126,136,Earth,0.0,G/23/S,47.0,0.0,97.0,418.0,126.0,25.0,55.0,-1,0,1,0
127,138,Earth,1.0,G/18/P,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
128,138,Earth,0.0,E/5/P,34.0,0.0,0.0,22.0,0.0,564.0,207.0,-1,0,0,1
129,139,Europa,1.0,C/6/S,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
130,140,Earth,1.0,G/19/P,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
131,140,Earth,0.0,F/29/P,26.0,0.0,440.0,0.0,0.0,0.0,462.0,-1,0,0,1
132,141,Mars,0.0,F/30/P,31.0,0.0,224.687617481203,0.0,97.0,0.0,0.0,-1,0,0,1
133,144,Earth,0.0,F/31/S,20.0,0.0,0.0,420.0,210.0,0.0,0.0,1,0,0,1
134,146,Earth,0.0,G/25/S,56.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1
135,147,Earth,1.0,G/26/S,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
136,148,Mars,0.0,F/31/P,42.0,0.0,1072.0,0.0,10.0,0.0,76.0,-1,0,0,1
137,149,Earth,1.0,G/27/S,28.82793046746535,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
138,151,Earth,1.0,G/20/P,38.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,0,0
139,152,Earth,0.0,F/32/P,41.0,0.0,0.0,0.0,0.0,0.0,607.0,-1,0,0,1
140,160,Earth,0.0,G/22/P,22.0,0.0,4119.0,0.0,0.0,0.0,61.0,-1,0,0,1
141,163,Europa,1.0,B/8/P,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
142,163,Europa,1.0,B/8/P,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
143,164,Earth,0.0,G/28/S,57.0,0.0,50.0,1688.0,0.0,311.1387779083431,135.0,1,0,0,1
