,PassengerGroup,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,55 Cancri e,PSO J318.5-22,TRAPPIST-1e,Earth,Europa,Mars,cabinsides,cabindeck,cabinnumber
0,1,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,0,1,0,0,2,0
1,2,0.0,24.0,0.0,109.0,9.0,25.0,549.0,44.0,1,0,0,1,1,0,0,1,6,0
2,3,0.0,58.0,1.0,43.0,3576.0,0.0,6715.0,49.0,-1,0,0,1,0,1,0,1,1,0
3,3,0.0,33.0,0.0,0.0,1283.0,371.0,3329.0,193.0,-1,0,0,1,0,1,0,1,1,0
4,4,0.0,16.0,0.0,303.0,70.0,151.0,565.0,2.0,1,0,0,1,1,0,0,1,6,1
5,5,0.0,44.0,0.0,0.0,483.0,0.0,291.0,0.0,1,0,1,0,1,0,0,0,6,0
6,6,0.0,26.0,0.0,42.0,1539.0,3.0,0.0,0.0,1,0,0,1,1,0,0,1,6,2
7,6,1.0,28.0,0.0,0.0,0.0,0.0,0.0,304.8547912992357,1,0,0,1,1,0,0,1,7,0
8,7,0.0,35.0,0.0,0.0,785.0,17.0,216.0,0.0,1,0,0,1,1,0,0,1,6,3
9,8,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,2,1
10,8,1.0,34.0,0.0,0.0,0.0,173.72916912197996,0.0,0.0,1,0,0,1,0,1,0,0,2,1
11,8,0.0,45.0,0.0,39.0,7295.0,589.0,110.0,124.0,1,1,0,0,0,1,0,0,2,1
12,9,0.0,32.0,0.0,73.0,0.0,1123.0,0.0,113.0,1,0,0,1,0,0,1,0,6,1
13,10,0.0,48.0,0.0,719.0,1.0,65.0,0.0,24.0,-1,0,0,1,1,0,0,1,7,1
14,11,0.0,28.0,0.0,8.0,974.0,12.0,2.0,7.0,1,0,0,1,1,0,0,0,6,2
15,12,0.0,31.0,0.0,32.0,0.0,876.0,0.0,0.0,-1,0,0,1,1,0,0,1,6,82
16,14,0.0,27.0,0.0,1286.0,122.0,173.72916912197996,0.0,0.0,-1,1,0,0,0,0,1,0,6,3
17,15,0.0,24.0,0.0,0.0,1.0,0.0,0.0,637.0,-1,1,0,0,1,0,0,0,6,4
18,16,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,6,5
19,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,7,0
20,17,0.0,14.0,0.0,412.0,0.0,1.0,0.0,679.0,-1,1,0,0,1,0,0,0,6,6
21,20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,1,0,0,1,5,0
22,20,1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,0,0,1,0,0,1,5,0
23,20,1.0,29.0,0.0,0.0,0.0,173.72916912197996,0.0,0.0,-1,1,0,0,1,0,0,1,5,0
24,20,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,1,5,0
25,20,1.0,1.0,0.0,224.687617481203,0.0,0.0,0.0,0.0,-1,0,1,0,1,0,0,1,5,0
26,20,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,1,0,0,1,5,0
27,22,0.0,21.0,0.0,980.0,2.0,69.0,0.0,0.0,-1,0,0,1,0,0,1,0,4,0
28,24,1.0,62.0,0.0,0.0,0.0,173.72916912197996,0.0,0.0,1,0,0,1,0,1,0,1,3,2
29,25,0.0,15.0,0.0,0.0,225.0,0.0,998.0,0.0,-1,0,0,1,1,0,0,1,6,6
30,26,0.0,34.0,0.0,22.0,6073.0,0.0,1438.0,328.0,-1,1,0,0,0,1,0,0,3,0
