,PassengerGroup,CryoSleep,Cabin,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,55 Cancri e,PSO J318.5-22,TRAPPIST-1e,Earth,Europa,Mars
0,1,0.0,B/0/P,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,0,1,0
1,2,0.0,F/0/S,24.0,0.0,109.0,9.0,25.0,549.0,44.0,1,0,0,1,1,0,0
2,3,0.0,A/0/S,58.0,1.0,43.0,3576.0,0.0,6715.0,49.0,-1,0,0,1,0,1,0
3,3,0.0,A/0/S,33.0,0.0,0.0,1283.0,371.0,3329.0,193.0,-1,0,0,1,0,1,0
4,4,0.0,F/1/S,16.0,0.0,303.0,70.0,151.0,565.0,2.0,1,0,0,1,1,0,0
5,5,0.0,F/0/P,44.0,0.0,0.0,483.0,0.0,291.0,0.0,1,0,1,0,1,0,0
6,6,0.0,F/2/S,26.0,0.0,42.0,1539.0,3.0,0.0,0.0,1,0,0,1,1,0,0
8,7,0.0,F/3/S,35.0,0.0,0.0,785.0,17.0,216.0,0.0,1,0,0,1,1,0,0
9,8,1.0,B/1/P,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0
11,8,0.0,B/1/P,45.0,0.0,39.0,7295.0,589.0,110.0,124.0,1,1,0,0,0,1,0
12,9,0.0,F/1/P,32.0,0.0,73.0,0.0,1123.0,0.0,113.0,1,0,0,1,0,0,1
13,10,0.0,G/1/S,48.0,0.0,719.0,1.0,65.0,0.0,24.0,-1,0,0,1,1,0,0
14,11,0.0,F/2/P,28.0,0.0,8.0,974.0,12.0,2.0,7.0,1,0,0,1,1,0,0
17,15,0.0,F/4/P,24.0,0.0,0.0,1.0,0.0,0.0,637.0,-1,1,0,0,1,0,0
18,16,1.0,F/5/P,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1
19,17,0.0,G/0/P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0
20,17,0.0,F/6/P,14.0,0.0,412.0,0.0,1.0,0.0,679.0,-1,1,0,0,1,0,0
21,20,1.0,E/0/S,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,1,0,0
22,20,1.0,E/0/S,49.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,0,0,1,0,0
24,20,0.0,E/0/S,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0
26,20,0.0,E/0/S,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,1,0,0
27,22,0.0,D/0/P,21.0,0.0,980.0,2.0,69.0,0.0,0.0,-1,0,0,1,0,0,1
29,25,0.0,F/6/S,15.0,0.0,0.0,225.0,0.0,998.0,0.0,-1,0,0,1,1,0,0
30,26,0.0,C/0/P,34.0,0.0,22.0,6073.0,0.0,1438.0,328.0,-1,1,0,0,0,1,0
31,28,0.0,F/8/P,43.0,0.0,1125.0,0.0,136.0,48.0,0.0,-1,0,0,1,0,0,1
32,30,0.0,G/4/S,32.0,0.0,0.0,850.0,81.0,437.0,453.0,-1,0,0,1,1,0,0
33,31,0.0,F/9/P,47.0,0.0,214.0,0.0,1411.0,0.0,1229.0,1,0,0,1,0,0,1
34,31,0.0,F/9/P,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1
36,34,1.0,D/1/S,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0
37,35,0.0,D/1/P,23.0,0.0,784.0,964.0,0.0,951.0,0.0,-1,1,0,0,0,0,1
39,38,0.0,F/10/S,20.0,0.0,554.0,195.0,0.0,2606.0,0.0,-1,1,0,0,1,0,0
41,41,1.0,G/2/P,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0
42,43,0.0,B/3/P,45.0,0.0,0.0,164.0,45.0,2511.0,855.0,-1,0,0,1,0,1,0
43,44,1.0,G/3/P,55.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,1,0,0
44,44,1.0,G/3/P,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0
45,44,1.0,G/3/P,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0
46,45,0.0,F/10/P,21.0,0.0,970.0,0.0,180.0,0.0,64.0,-1,0,0,1,0,0,1
49,51,0.0,E/2/S,56.0,0.0,0.0,112.0,0.0,1379.0,127.0,-1,0,0,1,1,0,0
51,53,0.0,F/11/S,25.0,0.0,0.0,0.0,1938.0,0.0,1.0,1,0,0,1,1,0,0
52,56,0.0,A/1/S,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0
53,56,1.0,A/1/S,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0
54,56,0.0,A/1/S,27.0,0.0,279.0,605.0,3374.0,286.0,3.0,1,0,0,1,0,1,0
55,58,1.0,G/7/S,36.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,1,0,1,0,0
56,61,0.0,F/12/S,22.0,0.0,45.0,1096.0,148.0,1377.0,1.0,-1,0,0,1,1,0,0
57,62,0.0,F/13/S,62.0,0.0,0.0,592.0,0.0,17.0,25.0,-1,0,0,1,1,0,0
58,64,1.0,F/14/S,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1
60,66,0.0,G/6/P,62.0,0.0,1.0,153.0,197.0,0.0,460.0,-1,0,0,1,1,0,0
61,67,1.0,G/10/S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0
62,67,0.0,G/10/S,18.0,0.0,1.0,258.0,446.0,0.0,0.0,1,0,0,1,1,0,0
63,67,0.0,F/15/S,21.0,0.0,1946.0,37.0,0.0,0.0,24.0,-1,1,0,0,1,0,0
65,69,0.0,F/16/S,42.0,0.0,887.0,0.0,9.0,6.0,0.0,1,0,0,1,1,0,0
66,70,0.0,F/13/P,19.0,0.0,190.0,0.0,5.0,1.0,726.0,-1,0,0,1,1,0,0
