,PassengerGroup,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Destination: 55 Cancri e,Destination: PSO J318.5-22,Destination: TRAPPIST-1e,HomePlanet: Earth,HomePlanet: Europa,HomePlanet: Mars,CabinSide: Starboard,CabinDeck,CabinNumber,Transported
0,1,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,2,0,-1
1,2,0.0,24.0,0.0,109.0,9.0,25.0,549.0,44.0,0,0,1,1,0,0,1,6,0,1
2,3,0.0,58.0,1.0,43.0,3576.0,0.0,6715.0,49.0,0,0,1,0,1,0,1,1,0,-1
3,3,0.0,33.0,0.0,0.0,1283.0,371.0,3329.0,193.0,0,0,1,0,1,0,1,1,0,-1
4,4,0.0,16.0,0.0,303.0,70.0,151.0,565.0,2.0,0,0,1,1,0,0,1,6,1,1
5,5,0.0,44.0,0.0,0.0,483.0,0.0,291.0,0.0,0,1,0,1,0,0,0,6,0,1
6,6,0.0,26.0,0.0,42.0,1539.0,3.0,0.0,0.0,0,0,1,1,0,0,1,6,2,1
8,7,0.0,35.0,0.0,0.0,785.0,17.0,216.0,0.0,0,0,1,1,0,0,1,6,3,1
9,8,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,2,1,1
11,8,0.0,45.0,0.0,39.0,7295.0,589.0,110.0,124.0,1,0,0,0,1,0,0,2,1,1
12,9,0.0,32.0,0.0,73.0,0.0,1123.0,0.0,113.0,0,0,1,0,0,1,0,6,1,1
13,10,0.0,48.0,0.0,719.0,1.0,65.0,0.0,24.0,0,0,1,1,0,0,1,7,1,-1
14,11,0.0,28.0,0.0,8.0,974.0,12.0,2.0,7.0,0,0,1,1,0,0,0,6,2,1
17,15,0.0,24.0,0.0,0.0,1.0,0.0,0.0,637.0,1,0,0,1,0,0,0,6,4,-1
18,16,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,6,5,1
19,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,0,1
20,17,0.0,14.0,0.0,412.0,0.0,1.0,0.0,679.0,1,0,0,1,0,0,0,6,6,-1
21,20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,5,0,-1
22,20,1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,5,0,-1
24,20,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,5,0,1
26,20,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,5,0,-1
27,22,0.0,21.0,0.0,980.0,2.0,69.0,0.0,0.0,0,0,1,0,0,1,0,4,0,-1
29,25,0.0,15.0,0.0,0.0,225.0,0.0,998.0,0.0,0,0,1,1,0,0,1,6,6,-1
30,26,0.0,34.0,0.0,22.0,6073.0,0.0,1438.0,328.0,1,0,0,0,1,0,0,3,0,-1
31,28,0.0,43.0,0.0,1125.0,0.0,136.0,48.0,0.0,0,0,1,0,0,1,0,6,8,-1
32,30,0.0,32.0,0.0,0.0,850.0,81.0,437.0,453.0,0,0,1,1,0,0,1,7,4,-1
33,31,0.0,47.0,0.0,214.0,0.0,1411.0,0.0,1229.0,0,0,1,0,0,1,0,6,9,1
34,31,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,6,9,1
36,34,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1,4,1,1
37,35,0.0,23.0,0.0,784.0,964.0,0.0,951.0,0.0,1,0,0,0,0,1,0,4,1,-1
39,38,0.0,20.0,0.0,554.0,195.0,0.0,2606.0,0.0,1,0,0,1,0,0,1,6,10,-1
41,41,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,2,1
42,43,0.0,45.0,0.0,0.0,164.0,45.0,2511.0,855.0,0,0,1,0,1,0,0,2,3,-1
43,44,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,3,-1
44,44,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,7,3,1
45,44,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,7,3,1
46,45,0.0,21.0,0.0,970.0,0.0,180.0,0.0,64.0,0,0,1,0,0,1,0,6,10,-1
49,51,0.0,56.0,0.0,0.0,112.0,0.0,1379.0,127.0,0,0,1,1,0,0,1,5,2,-1
51,53,0.0,25.0,0.0,0.0,0.0,1938.0,0.0,1.0,0,0,1,1,0,0,1,6,11,1
52,56,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,1,1,1
53,56,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,1,1,1
54,56,0.0,27.0,0.0,279.0,605.0,3374.0,286.0,3.0,0,0,1,0,1,0,1,1,1,1
55,58,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,7,7,-1
56,61,0.0,22.0,0.0,45.0,1096.0,148.0,1377.0,1.0,0,0,1,1,0,0,1,6,12,-1
57,62,0.0,62.0,0.0,0.0,592.0,0.0,17.0,25.0,0,0,1,1,0,0,1,6,13,-1
58,64,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,6,14,1
60,66,0.0,62.0,0.0,1.0,153.0,197.0,0.0,460.0,0,0,1,1,0,0,0,7,6,-1
61,67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,7,10,1
62,67,0.0,18.0,0.0,1.0,258.0,446.0,0.0,0.0,0,0,1,1,0,0,1,7,10,1
63,67,0.0,21.0,0.0,1946.0,37.0,0.0,0.0,24.0,1,0,0,1,0,0,1,6,15,-1
65,69,0.0,42.0,0.0,887.0,0.0,9.0,6.0,0.0,0,0,1,1,0,0,1,6,16,1
66,70,0.0,19.0,0.0,190.0,0.0,5.0,1.0,726.0,0,0,1,1,0,0,0,6,13,-1
67,71,0.0,17.0,0.0,16.0,2165.0,0.0,0.0,52.0,0,0,1,1,0,0,0,6,14,-1
68,72,0.0,14.0,0.0,0.0,1.0,0.0,0.0,1063.0,0,0,1,1,0,0,1,6,17,-1
69,73,0.0,37.0,0.0,46.0,83.0,738.0,0.0,12.0,0,1,0,0,0,1,0,4,3,-1
70,74,0.0,42.0,0.0,1.0,8397.0,0.0,0.0,506.0,0,0,1,0,1,0,1,3,3,1
71,76,0.0,27.0,0.0,147.0,0.0,1018.0,0.0,0.0,0,0,1,0,0,1,1,6,18,1
72,77,0.0,28.0,0.0,14.0,0.0,1295.0,0.0,0.0,0,0,1,0,0,1,0,6,15,1
73,78,0.0,38.0,0.0,0.0,5840.0,0.0,321.0,9654.0,0,0,1,0,1,0,1,3,4,-1
74,81,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,7,13,-1
75,82,0.0,42.0,0.0,7406.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,6,16,-1
76,82,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,6,16,1
77,82,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,6,16,1
